time,lat,lon,ssp126_tg_mean_p10,ssp126_tg_mean_p50,ssp126_tg_mean_p90,ssp245_tg_mean_p10,ssp245_tg_mean_p50,ssp245_tg_mean_p90,ssp585_tg_mean_p10,ssp585_tg_mean_p50,ssp585_tg_mean_p90
1967-02-01,43.708333225,-79.375002465,-7.17,-4.65,-1.11,-7.17,-4.65,-1.11,-7.17,-4.65,-1.11
1967-03-01,43.708333225,-79.375002465,-3.54,-0.47,4.29,-3.54,-0.47,4.29,-3.54,-0.47,4.29
1967-04-01,43.708333225,-79.375002465,3.44,5.96,8.26,3.44,5.96,8.26,3.44,5.96,8.26
1967-05-01,43.708333225,-79.375002465,10.40,12.42,14.30,10.40,12.42,14.30,10.40,12.42,14.30
1967-06-01,43.708333225,-79.375002465,16.77,18.31,19.25,16.77,18.31,19.25,16.77,18.31,19.25
1967-07-01,43.708333225,-79.375002465,19.22,20.84,22.63,19.22,20.84,22.63,19.22,20.84,22.63
1967-08-01,43.708333225,-79.375002465,18.81,20.09,21.52,18.81,20.09,21.52,18.81,20.09,21.52
1967-09-01,43.708333225,-79.375002465,14.00,16.56,18.57,14.00,16.56,18.57,14.00,16.56,18.57
1967-10-01,43.708333225,-79.375002465,8.39,9.94,11.84,8.39,9.94,11.84,8.39,9.94,11.84
1967-11-01,43.708333225,-79.375002465,1.72,3.73,5.44,1.72,3.73,5.44,1.72,3.73,5.44
1967-12-01,43.708333225,-79.375002465,-5.36,-2.37,0.22,-5.36,-2.37,0.22,-5.36,-2.37,0.22
1968-01-01,43.708333225,-79.375002465,-10.70,-5.76,-2.22,-10.70,-5.76,-2.22,-10.70,-5.76,-2.22
1968-02-01,43.708333225,-79.375002465,-10.26,-6.18,-2.16,-10.26,-6.18,-2.16,-10.26,-6.18,-2.16
1968-03-01,43.708333225,-79.375002465,-4.36,-1.19,2.00,-4.36,-1.19,2.00,-4.36,-1.19,2.00
1968-04-01,43.708333225,-79.375002465,4.55,6.17,9.28,4.55,6.17,9.27,4.55,6.17,9.28
1968-05-01,43.708333225,-79.375002465,11.07,12.04,14.59,11.07,12.04,14.59,11.07,12.04,14.59
